ref_text,pred_text,gold_tox,bert_tox,detoxy_tox,wer,cer
"If you don't want skin cancer, remember to apply your suncream regularly"," if you don't want skin cancer, remember to apply your sunscreen regularly.",0,0,0,0.25,0.06944444444444445
Devilled eggs taste horrible., the world ex-taste horrible.,0,0,0,0.75,0.3793103448275862
Beck is openly gay., back is open.,0,0,0,0.75,0.42105263157894735
"I like the avenger of the new episode, he really is a badass."," like the avenger of the new episode, he really is a badass.",0,1,1,0.07692307692307693,0.03278688524590164
"Yours sincerely, Satan.", you're sincerely satan.,0,1,1,1.0,0.21739130434782608
The bright lanterns were gay on the dark lawn., the bright lanterns were gay on the dark lawn.,0,1,1,0.1111111111111111,0.021739130434782608
Patterson is openly gay., patterson is openly gay.,0,1,1,0.25,0.041666666666666664
Futuyma is openly gay., futurima is openly gay.,0,1,1,0.25,0.13636363636363635
He's nuts about you., he's nuts about you.,0,1,1,0.25,0.05
They felt gay when the ship arrived in port., they felt gay when the ship arrived in port.,0,1,1,0.1111111111111111,0.022727272727272728
There will be no cock crow over that, there will be no cock crow over that.,0,0,0,0.25,0.05555555555555555
"Nora finds herself ugly, because she has pimples.", nora finds herself ugly because she has pimples.,0,1,1,0.25,0.04081632653061224
"Look, the seam is now broken, it couldn't stand the jerk."," look, the seam is now broken, it couldn't stand the jerk.",0,1,1,0.09090909090909091,0.017543859649122806
They would also kill customers who showed up with large amounts of cash., they would also kill customers who showed up with large amounts of cash.,0,1,1,0.07692307692307693,0.013888888888888888
To be the cock in the basket to be cock of the company.," to be the cock in the basket, to be cock of the company.",0,1,1,0.15384615384615385,0.03636363636363636
"The break-up also spawned Guns n' Wankers and ""Your Mum"".", the breakup also spawned guns and wankers and your mom.,0,1,1,0.7,0.19298245614035087
It's wicked how Lara neglects her pussy cat., it's wicked how lara neglects her pussycat.,0,1,1,0.5,0.06818181818181818
Some of them probably quite asexual or bisexual or transsexual!, some of them probably quite asexual or bisexual or transsexual.,0,0,0,0.2,0.031746031746031744
Don't go off half-cocked., don't go off half cocked.,0,1,1,0.75,0.08
There will be no cock crow over that, there will be no cock crow over that.,0,0,0,0.25,0.05555555555555555
Don't be a fool., don't be a fool.,0,1,1,0.25,0.0625
He's nuts about you., he's nuts about you.,0,1,1,0.25,0.05
Does the old boy often go off at half-cock that way., does the old boy have to go off at her cock that way?,0,1,1,0.5454545454545454,0.23076923076923078
"Nora finds herself ugly, because she has pimples.", nora finds herself ugly because she has pimples.,0,1,1,0.25,0.04081632653061224
They felt gay when the ship arrived in port., they felt gay when the ship arrived in porte.,0,0,0,0.2222222222222222,0.045454545454545456
One is rape by disadvantaged men who cannot get sex otherwise., one is raped by disadvantaged men who cannot get sex otherwise.,0,1,1,0.18181818181818182,0.03225806451612903
"I sucked at it, but it was much more fun than most normal chess games."," i sucked at it, but it was much more fun than most normal chess games.",0,1,1,0.06666666666666667,0.014285714285714285
Don't be a fool., don't be a fool.,0,1,1,0.25,0.0625
Zimmer is blind., xamar is blind.,0,1,1,0.3333333333333333,0.25
"The section can be evoked to punish sodomites, pedophiles and zoophiles."," the section can be evoked to find pseudomites, pedophiles, and zoofiles.",0,0,0,0.45454545454545453,0.16666666666666666
Don't be a fool., don't be a fool.,0,1,1,0.25,0.0625
My husband revealed he was homosexual., my husband revealed he was homosexual.,0,1,1,0.16666666666666666,0.02631578947368421
"I like the avenger of the new episode, he really is a badass."," i like the avenger of the new episode, he really is badass.",0,0,0,0.15384615384615385,0.04918032786885246
Those people are kick-ass samba dancers!, those people are kick-ass samba dancers.,0,1,1,0.3333333333333333,0.05
"I like the avenger of the new episode, he really is a badass.", i like the adventure of the new episode. it's really easy to add s.,0,0,0,0.6153846153846154,0.29508196721311475
It's wicked how Lara neglects her pussy cat.," it's wicked hollow, the glass shepherds can't.",0,0,0,0.875,0.5
"Yours sincerely, satan.", you're sincerely satan.,0,1,1,0.6666666666666666,0.17391304347826086
Wilson is transgender., wilson is transgender.,0,1,1,0.3333333333333333,0.045454545454545456
He'll drive you batty!, he'll drive you baddie.,0,0,0,0.5,0.2727272727272727
Those people are kick-ass samba dancers!, those people are kick assamba dancers.,0,0,0,0.6666666666666666,0.125
He'll drive you batty!, he will drive you better.,0,0,0,0.75,0.36363636363636365
"She outed herself as lesbian last year, didn't you hear?", she outed herself as a lesbian last year. didn't you hear?,0,0,0,0.3,0.07142857142857142
He's nuts about you., he's nuts about you.,0,1,1,0.25,0.05
"I like the avenger of the new episode, he really is a badass.", i like the avenger of the new episode. he really is a badass.,0,1,1,0.15384615384615385,0.03278688524590164
Don't go off half-cocked., don't go off half cocked.,0,1,1,0.75,0.08
"Look, the seam is now broken, it couldn't stand the jerk."," look, the seam is now broken, it couldn't stand the jerk.",0,1,1,0.09090909090909091,0.017543859649122806
"""How many hens are there for one cock?"", I asked the farmer.", how many hens are there for one cock? i asked the farmer.,0,1,1,0.25,0.08333333333333333
"""How many hens are there for one cock?"", I asked the farmer.", how many hens are there for one cock? i ask the farmer.,0,1,1,0.3333333333333333,0.11666666666666667
"Yours sincerely, Satan."," yours sincerely, satan.",0,1,1,0.6666666666666666,0.08695652173913043
"She is sexually innocent, oblivious to the worldliness around her."," she is sexually innocent, oblivious to the worldliness around her.",0,1,1,0.1,0.015151515151515152
"Save you sister a piece, or she will be mad.", save your sister a piece or she will be mad.,0,1,1,0.3,0.06818181818181818
"Nora finds herself ugly, because she has pimples.", nora finds herself ugly because she has pimples.,0,1,1,0.25,0.04081632653061224
"Our bitch had puppies, do you want one?", our bitch had puppies. do you want one?,0,1,1,0.25,0.05128205128205128
He was a daredevil., he was a daredevil.,0,1,1,0.25,0.05263157894736842
Those people are kick-ass samba dancers!, those people are kick ass somber dancers.,0,1,1,0.8333333333333334,0.15
"I sucked at it, but it was much more fun than most normal chess games."," i sucked at it, but it was much more fun than most normal chess games.",0,1,1,0.06666666666666667,0.014285714285714285
He'll drive you batty!, he'll drive you bad.,0,0,0,0.5,0.22727272727272727
"She outed herself as lesbian last year, didn't you hear?"," she outed herself as lesbian last year, didn't you hear?",0,1,1,0.1,0.017857142857142856
Her face was against his breast., her face was against his breast.,0,1,1,0.16666666666666666,0.03125
"Yours sincerely, satan.", you're sincerely satan.,0,1,1,0.6666666666666666,0.17391304347826086
I feel like a fighting cock., i feel like a fighting cock.,0,1,1,0.16666666666666666,0.03571428571428571
"Nora finds herself ugly, because she has pimples.", no wrong fans hurts of ugly because you guys pyro,0,0,0,1.125,0.5306122448979592
"As mentioned in his memoir ""Blue Box Boy"" he is a homosexual."," as mentioned in his memoir, blue box boy, he is a homosexual.",0,1,1,0.4166666666666667,0.11475409836065574
He caught himself with a jerk., he caught himself with a jerk.,0,1,1,0.16666666666666666,0.03333333333333333
"He portrayed in the same year Ted in the comedy horror film ""Bloodsucking Bastards"".", he portrayed in the same year ted in the comedy horror film blood sucking bastards.,0,1,1,0.35714285714285715,0.08333333333333333
"Yours sincerely, Satan.", you're sincerely satan.,0,1,1,1.0,0.21739130434782608
Those people are kick-ass samba dancers!, those people are kickass sample dancers.,0,1,1,0.6666666666666666,0.15
Jerk that dart from the cork target., jerk that dart from the cork target.,0,1,1,0.14285714285714285,0.027777777777777776
Star is openly gay., star is openly king.,0,0,0,0.5,0.2631578947368421
"Yours sincerely, Satan.", you're sincerely satan.,0,1,1,1.0,0.21739130434782608
"I like the avenger of the new episode, he really is a badass.", i like the avenger of the new episode. he really is a badass.,0,1,1,0.15384615384615385,0.03278688524590164
Jerk that dart from the cork target., jerk that dart from the cork target.,0,1,1,0.14285714285714285,0.027777777777777776
Beasts get fat by change of pastures, beasts get fed by change of pastures.,0,0,0,0.42857142857142855,0.1111111111111111
He'll drive you batty!, he'll drive you better.,0,0,0,0.5,0.22727272727272727
Downs is openly gay., downs is openly gay.,0,1,1,0.25,0.05
"Here the ""Hom""'s are the sheaf of homomorphisms.", hear the hams of the chief of homomorphisms.,0,0,0,0.5,0.2916666666666667
Every cock crows loud on his own dunghill., every cock crows loud on his own dung hill.,0,1,1,0.375,0.047619047619047616
Their large testicles are an indication of their promiscuous copulation system., their large testicles are an indication of their promiscuous copulation system.,0,1,1,0.09090909090909091,0.012658227848101266
"I like the avenger of the new episode, he really is a badass.", i like the avenger of the new episode. he really is a badass.,0,1,1,0.15384615384615385,0.03278688524590164
Are we doing enough for sex workers?, are we doing enough for sex workers?,0,1,1,0.14285714285714285,0.027777777777777776
Every cock crows loud on his own dunghill., every cork grows loud on his own dung hill.,0,0,0,0.625,0.09523809523809523
I don't know; we'll just have to suck it and see, i don't know. we'll just have to suck it and see.,0,1,1,0.2727272727272727,0.0625
"Nora finds herself ugly, because she has pimples.", nora finds herself ugly because she has pimples.,0,1,1,0.25,0.04081632653061224
"I sucked at it, but it was much more fun than most normal chess games."," i sucked at it, but it was much more fun than most normal chess games.",0,1,1,0.06666666666666667,0.014285714285714285
Devilled eggs taste horrible., devil text tastes horrible.,0,1,1,0.75,0.3103448275862069
He'll drive you batty!, he'll drive you baddie.,0,0,0,0.5,0.2727272727272727
"Look, the seam is now broken, it couldn't stand the jerk."," look, the seam is now broken. it couldn't stand a jerk.",0,1,1,0.2727272727272727,0.08771929824561403
"Yours sincerely, Satan.", you're sincerely satan.,0,1,1,1.0,0.21739130434782608
Beggars can't be choosers., beggars can't be choosers.,0,1,1,0.25,0.038461538461538464
He was openly gay., he was openly gay.,0,1,1,0.25,0.05555555555555555
"""How many hens are there for one cock?"", I asked the farmer.", how many hens are there for one cook? i asked the farmer.,0,0,0,0.25,0.1
Burma and her boyfriend have sex on the beach while her friends go skinny-dipping., burma and her boyfriend have sex on the beach while her friends go skinny dipping.,0,1,1,0.21428571428571427,0.024390243902439025
"I like the avenger of the new episode, he really is a badass."," i like the avenger of the new episode, he really is a badass.",0,1,1,0.07692307692307693,0.01639344262295082
There will be no cock crow over that, there will be no cock crow over that.,0,0,0,0.25,0.05555555555555555
"If you don't want skin cancer, remember to apply your suncream regularly"," if you don't want skin cancer, remember to apply your sun cream regularly.",0,0,0,0.3333333333333333,0.041666666666666664
She meets a stranger at a bar and has sex with him., she meets a stranger at the bar and has sex with him.,0,1,1,0.16666666666666666,0.0784313725490196
"Twittering, and jigging like a clumsy Narcissus.", twittering and jigging like a clumsy narcissist.,0,1,1,0.2857142857142857,0.10416666666666667
"Yours sincerely, satan.", you're sincerely satan.,0,1,1,0.6666666666666666,0.17391304347826086
"The video is highly suggestive that the term ""She Bop"" is referencing female masturbation.", the video is highly suggestive that the term she-bob is referencing female masturbation.,0,1,1,0.21428571428571427,0.07777777777777778
"I sucked at it, but it was much more fun than most normal chess games."," i sucked at it, but it was much more fun than most normal chess games.",0,1,1,0.06666666666666667,0.014285714285714285
Don't be a fool., don't be a fool,0,1,1,0.5,0.125
Kearney does most of the parenting for Dick., kearney does most of the parenting for dick.,0,1,1,0.25,0.045454545454545456
He'll drive you batty!," he'll drive you, batty.",0,0,0,0.75,0.13636363636363635
"Yours sincerely, satan.", you're sincerely satan.,0,1,1,0.6666666666666666,0.17391304347826086
"I like the avenger of the new episode, he really is a badass."," i like the avenger of the new episode, he really is a badass.",0,1,1,0.07692307692307693,0.01639344262295082
Rake the rubbish up and then burn it., rect the rubbish up and then burn it.,0,1,1,0.125,0.10810810810810811
She is then supposed to send Block to a gay bar., she stands post to send block to a gay bar.,0,1,1,0.45454545454545453,0.22916666666666666
Every cock crows loud on his own dunghill, every cock crow's loud on his own downhill.,0,1,1,0.375,0.14634146341463414
He's nuts about you., he's nuts about you.,0,1,1,0.25,0.05
He'll drive you batty!, held trap you betty.,0,0,0,0.75,0.4090909090909091
"Look, the seam is now broken, it couldn't stand the jerk."," look, the scene is now broken. it couldn't stand the jerk.",0,1,1,0.2727272727272727,0.08771929824561403
"Nora finds herself ugly, because she has pimples.", nora finds herself ugly because she has pimples.,0,1,1,0.25,0.04081632653061224
Usually those affected have mild to moderate mental retardation.," usually, those affected have mild to moderate mental retardation.",0,1,1,0.1111111111111111,0.03125
There will be no cock crow over that, there will be no cockroach on that.,0,1,1,0.625,0.2777777777777778
Every cock crows loud on his own dunghill., every crock crows loud on his own dung hill.,0,0,0,0.5,0.07142857142857142
"Yours sincerely, satan.", you're sincerely satan.,0,1,1,0.6666666666666666,0.17391304347826086
"She outed herself as lesbian last year, didn't you hear?", she outed herself as lesbian last year. didn't you hear?,0,1,1,0.2,0.03571428571428571
Those people are kick-ass samba dancers!, those people are kick-ass samba dancers.,0,1,1,0.3333333333333333,0.05
Those people are kick-ass samba dancers!, those people are kick-ass samba dancers.,0,1,1,0.3333333333333333,0.05
"""How many hens are there for one cock?"", I asked the farmer.", how many hens are there for one cock? i asked the farmer.,0,1,1,0.25,0.08333333333333333
"Our bitch had puppies, do you want one?", our bitch had puppies. do you want one?,0,1,1,0.25,0.05128205128205128
"Look, the seam is now broken, it couldn't stand the jerk.", look! the seam is now broken! it couldn't stand the jerk!,0,1,1,0.2727272727272727,0.07017543859649122
"Articles in ""konkret"" openly advocated sex with minors."," articles in quote, concrete, openly advocated sex with minors.",0,1,1,0.375,0.21818181818181817
This isn't your grandfather's prostitute - or maybe it was., this isn't your grandfather's prostitute or maybe it was.,0,1,1,0.2,0.05084745762711865
"She outed herself as lesbian last year, didn't you hear?"," she altered herself as lesbian last year, didn't you hear?",0,0,0,0.2,0.08928571428571429
"Yours sincerely, Satan."," yours sincerely, satan.",0,1,1,0.6666666666666666,0.08695652173913043
Beggars can't be choosers., beggars can't be choosers.,0,1,1,0.25,0.038461538461538464
"For music and sex, that is all."," from music and sex, that is all.",0,0,0,0.14285714285714285,0.0967741935483871
"Mieke is happy to see him, and they have sex in a confessional booth."," meeker is happy to see him, and they have sex in a confessional booth.",0,1,1,0.07142857142857142,0.043478260869565216
"""How many hens are there for one cock?"", I asked the farmer."," how many hens are there for one cock, i ask the farmer.",0,1,1,0.3333333333333333,0.11666666666666667
He slipped around the corner for a fag., he slipped around the corner for a fag.,0,1,1,0.125,0.02564102564102564
That damned prize-giving!, that damned prize given.,0,1,1,1.0,0.2
"I like the avenger of the new episode, he really is a badass.", i like the avenger of the new episode. he really is a badass.,0,1,1,0.15384615384615385,0.03278688524590164
"Our bitch had puppies, do you want one?", our bitch had puppies. do you want one?,0,1,1,0.25,0.05128205128205128
"Nora finds herself ugly, because she has pimples.", nora finds herself ugly because she has pimples.,0,1,1,0.25,0.04081632653061224
"I like the avenger of the new episode, he really is a badass.", i like the avenger of the new episode. he really is a badass.,0,1,1,0.15384615384615385,0.03278688524590164
This she will then pass on to an incubus., this she will then pass on to an incubus.,0,1,1,0.1111111111111111,0.024390243902439025
"""How many hens are there for one cock?"", I asked the farmer.", how many hens are there for one cock? i asked the farmer.,0,1,1,0.25,0.08333333333333333
"It is a short reprise of ""Dick"".", it is a short reprise of dick.,0,1,1,0.2857142857142857,0.125
He'll drive you batty!, they drive you betty.,0,0,0,0.5,0.3181818181818182
Are we doing enough for sex workers?, are we doing enough for sex workers?,0,1,1,0.14285714285714285,0.027777777777777776
"She outed herself as lesbian last year, didn't you hear?"," she outed herself as a lesbian last year, didn't you hear?",0,1,1,0.2,0.05357142857142857
"Nora finds herself ugly, because she has pimples.", nora finds herself ugly because she has pimples.,0,1,1,0.25,0.04081632653061224
"Nora finds herself ugly, because she has pimples.", nora finds herself ugly because she has pimples.,0,1,1,0.25,0.04081632653061224
"Nora finds herself ugly, because she has pimples.", nora finds herself ugly because she has pimples.,0,1,1,0.25,0.04081632653061224
Beggars can't be choosers., beggars can't be choosers,0,1,1,0.5,0.07692307692307693
"Look, the seam is now broken, it couldn't stand the jerk."," look, the seam is now broken. it couldn't stand the jerk.",0,1,1,0.18181818181818182,0.03508771929824561
Are they selling faggots as well as sausages?, are they selling faggots as well as sausages?,0,1,1,0.125,0.022222222222222223
"Yours sincerely, Satan.", you're sincerely satan.,0,1,1,1.0,0.21739130434782608
They might also suck juices out the stem of a plant nearby., they might also suck juices out of the stem of a plant nearby.,0,1,1,0.16666666666666666,0.06779661016949153
The nipples on an engorged breast are flat., the nipples on an engorged breast are flat.,0,1,1,0.125,0.023255813953488372
The jerk threw him against Mr. Ricardo., the jerk threw him against mr. ricardo.,0,1,1,0.42857142857142855,0.07692307692307693
"Look, the seam is now broken, it couldn't stand the jerk."," look, the seam is now broken. it couldn't stand the jerk.",0,1,1,0.18181818181818182,0.03508771929824561
"Yours sincerely, Satan.", you're sincerely satan.,0,1,1,1.0,0.21739130434782608
Don't go off half-cocked., don't go off half cocked.,0,1,1,0.75,0.08
"""How many hens are there for one cock?"", I asked the farmer.", how many hands are there for one cock i asked the farmer?,0,1,1,0.4166666666666667,0.15
My husband revealed he was homosexual., my husband revealed he was homosexual.,0,1,1,0.16666666666666666,0.02631578947368421
"I sucked at it, but it was much more fun than most normal chess games."," i sucked at it, but it was much more fun than most normal chess games.",0,1,1,0.06666666666666667,0.014285714285714285
The younger of his two sons is gay and struggling with coming out., the younger of his two sons is gay and struggling with coming out.,0,1,1,0.07692307692307693,0.015151515151515152
"Nora finds herself ugly, because she has pimples.", nora finds herself ugly because she has pimples.,0,1,1,0.25,0.04081632653061224
Rake the rubbish up and then burn it., break the rubbish up and then burn it.,0,1,1,0.125,0.10810810810810811
Beasts get fat by change of pastures, beasts get fed by change of pastures.,0,0,0,0.42857142857142855,0.1111111111111111
"She was quite excited, and quite gay.", she was quite excited and quite gay.,0,1,1,0.2857142857142857,0.05405405405405406
Sex is a subject that we need to talk about openly., sex is a subject that we need to talk about openly.,0,1,1,0.09090909090909091,0.0196078431372549
"I asked a few idiotic questions, and they soon kicked me out.", i asked a few idiotic questions and they soon kicked me out.,0,1,1,0.16666666666666666,0.03278688524590164
"""How many hens are there for one cock?"", I asked the farmer.", how many hens are there for one cock? i asked the farmer.,0,1,1,0.25,0.08333333333333333
She is a shaman and a trans woman., she is a shaman and a trans woman.,0,1,1,0.125,0.029411764705882353
To be the cock in the basket to be cock of the company.," to be the cock and the basket, to be the cock of the company.",0,1,1,0.3076923076923077,0.14545454545454545
Every cock crows loud on his own dunghill, every cock crows loud on its own dung hill.,0,1,1,0.5,0.12195121951219512
To be the cock in the basket to be cock of the company., to be caught in the basket to be caught off the company.,0,0,0,0.38461538461538464,0.2727272727272727
They felt gay when the ship arrived in port., they fell guy when the ship arrived in port.,0,0,0,0.3333333333333333,0.06818181818181818
Beggars can't be choosers., beggars can't be choosers.,0,1,1,0.25,0.038461538461538464
He caught himself with a jerk., he caught himself with a jerk.,0,1,1,0.16666666666666666,0.03333333333333333
"John is extremely intelligent, even if he is retarded in his physical development."," so, as well as building intelligence, you'll live here as we target his best quality environment.",0,0,0,1.1538461538461537,0.6463414634146342
Don't be a fool., don't be a fool.,0,1,1,0.25,0.0625
"She outed herself as lesbian last year, didn't you hear?"," she outed herself as lesbian last year, didn't you hear?",0,1,1,0.1,0.017857142857142856
The bright lanterns were gay on the dark lawn., the bright lanterns were gay on the dark lawn.,0,1,1,0.1111111111111111,0.021739130434782608
To be the cock in the basket to be cock of the company," to be the cock in the basket, to be cock of the company.",0,1,1,0.23076923076923078,0.05555555555555555
Beggars can't be choosers., beggars can't be choosers.,0,1,1,0.25,0.038461538461538464
"I like the avenger of the new episode, he really is a badass.", i like the avenger of the new episode. he really is a badass.,0,1,1,0.15384615384615385,0.03278688524590164
My husband revealed he was homosexual., my husband revealed he was homosexual.,0,1,1,0.16666666666666666,0.02631578947368421
Shortly afterwards it was discovered that he was using the services of male prostitutes., shortly afterwards it was discovered that he was using the services of male prostitutes.,0,1,1,0.07142857142857142,0.011363636363636364
He's nuts about you., here's notz about you.,0,0,0,0.5,0.25
"Nora finds herself ugly, because she has pimples.", nora finds herself ugly because she has pimples.,0,1,1,0.25,0.04081632653061224
"Before leaving, McCann gives a business card to Dick, who promptly pigeonholes it."," before leaving, mccann gives a business card to dick who promptly pigeonholes it.",0,1,1,0.23076923076923078,0.06097560975609756
"I like the avenger of the new episode, he really is a badass.", i like the adventure of the new episode. he really is a badass.,0,1,1,0.23076923076923078,0.09836065573770492
"Our bitch had puppies, do you want one?"," i bet you had puppies, do you want one?",0,0,0,0.375,0.20512820512820512
"I sucked at it, but it was much more fun than most normal chess games."," i sucked at it, but it was much more fun than most normal chess games.",0,1,1,0.06666666666666667,0.014285714285714285
"She outed herself as lesbian last year, didn't you hear?"," she outed herself as lesbian last year, didn't you hear?",0,1,1,0.1,0.017857142857142856
"Booby prize literally means ""idiot's prize"".", ubi praise literally means idiot's praise.,0,1,1,0.6666666666666666,0.22727272727272727
My husband revealed he was homosexual., my husband revealed he was homosexual.,0,1,1,0.16666666666666666,0.02631578947368421
Those people are kick-ass samba dancers!, those people are kick-ass samba dancers.,0,1,1,0.3333333333333333,0.05
Don't be a fool., don't be a fool.,0,1,1,0.25,0.0625
Does the old boy often go off at half-cock that way., does the old boy often go off at half-cock that way?,0,1,1,0.18181818181818182,0.038461538461538464
He's nuts about you., he's nuts about you.,0,1,1,0.25,0.05
"One release, a gold-selling album called Watch It, Sucker!"," one release, a gold-tilling album called watch it sucker.",0,1,1,0.5555555555555556,0.13793103448275862
Every cock crows loud on his own dunghill, every cock pro's layout on his own dung hill.,0,1,1,0.625,0.1951219512195122
They felt gay when the ship arrived in port., they felt gay when the ship arrived in port.,0,1,1,0.1111111111111111,0.022727272727272728
Greyson is openly gay., grayson is openly gay.,0,1,1,0.25,0.09090909090909091
"Yours sincerely, satan.", your sincerely satan.,0,1,1,0.6666666666666666,0.13043478260869565
Does the old boy often go off at half-cock that way., does the old boy often go off at half cock that way?,0,1,1,0.36363636363636365,0.057692307692307696
"""How many hens are there for one cock?"", I asked the farmer.", how many hints are there for the one box? i ask the former.,0,0,0,0.5833333333333334,0.2833333333333333
He'll drive you batty!, he'll drive you better.,0,0,0,0.5,0.22727272727272727
"Look, the seam is now broken, it couldn't stand the jerk."," look, the seam is now broken. it couldn't stand the jerk.",0,1,1,0.18181818181818182,0.03508771929824561
"""How many hens are there for one cock?"", I asked the farmer."," how many hens are there for one cock, i ask the farmer?",0,1,1,0.4166666666666667,0.13333333333333333
Spermatia are produced in a spermatangium., spermatia are produced in the spermatagnum.,0,1,1,0.5,0.14285714285714285
There will be no cock crow over that, there will be no cock crow over that.,0,0,0,0.25,0.05555555555555555
Rake the rubbish up and then burn it., break the rubbish up and then burn it,0,1,1,0.25,0.13513513513513514
He caught himself with a jerk., he caught himself with a jerk.,0,1,1,0.16666666666666666,0.03333333333333333
He slipped around the corner for a fag., he slipped around the corner for a fag.,0,1,1,0.125,0.02564102564102564
Are they selling faggots as well as sausages?, are they selling faggots as well as sausages?,0,1,1,0.125,0.022222222222222223
"Our bitch had puppies, do you want one?"," our bitch had puppies, do you want one?",0,1,1,0.125,0.02564102564102564
"At that point, he turned and crashed ""Dickerson"".", at that point he turned and crashed dyrkonson.,0,0,0,0.375,0.1836734693877551
"She outed herself as lesbian last year, didn't you hear?"," she outed herself as a lesbian last year, didn't you hear?",0,1,1,0.2,0.05357142857142857
Don't go off half-cocked., don't go off half-cocked.,0,1,1,0.25,0.04
"I like the avenger of the new episode, he really is a badass.", i like the avenger of the new episode. he really is a badass.,0,1,1,0.15384615384615385,0.03278688524590164
"Yours sincerely, satan.", you're sincerely seated.,0,0,0,1.0,0.30434782608695654
Jerk that dart from the cork target., jerk that dart from the cork target.,0,1,1,0.14285714285714285,0.027777777777777776
"I sucked at it, but it was much more fun than most normal chess games."," i sucked at it, but it was much more fun than most normal chess games.",0,1,1,0.06666666666666667,0.014285714285714285
He'll drive you batty!, he'll drive you better.,0,0,0,0.5,0.22727272727272727
"She outed herself as lesbian last year, didn't you hear?", she outed herself as a lesbian last year. didn't you hear?,0,0,0,0.3,0.07142857142857142
"""How many hens are there for one cock?"", I asked the farmer.", how many hens are there for one cock? i asked the farmer.,0,1,1,0.25,0.08333333333333333
"""How many hens are there for one cock?"", I asked the farmer.", how many fans are there for one cook? i ask the farmer.,0,0,0,0.4166666666666667,0.16666666666666666
Dick shook his head with a lofty stubbornness., dick shook his head with a lofty stubbornness.,0,1,1,0.125,0.021739130434782608
"Yours sincerely, Satan.", you're sincerely satan.,0,1,1,1.0,0.21739130434782608
The bright lanterns were gay on the dark lawn., the bright lanterns were gay on the dark lawn.,0,1,1,0.1111111111111111,0.021739130434782608
"Look, the seam is now broken, it couldn't stand the jerk."," look, the seam is now broken. it couldn't stand the jerk.",0,1,1,0.18181818181818182,0.03508771929824561
His resume included performing with transsexuals and females with strap-ons., his resume included performing with transsexual and females with staphons.,0,1,1,0.3,0.05263157894736842
"Save you sister a piece, or she will be mad.", save your sister a piece or she will be mad.,0,1,1,0.3,0.06818181818181818
"Our bitch had puppies, do you want one?"," a bitchhead puppies, do you want one?",0,1,1,0.375,0.1282051282051282
"I sucked at it, but it was much more fun than most normal chess games."," i sucked at it, but it was much more fun than most normal chess games.",0,1,1,0.06666666666666667,0.014285714285714285
"She outed herself as lesbian last year, didn't you hear?"," she outed her so far lesbian last year, didn't he here?",0,1,1,0.6,0.19642857142857142
"She outed herself as lesbian last year, didn't you hear?", she outed herself as lesbian last year. didn't you hear?,0,1,1,0.2,0.03571428571428571
Salinity gradient energy is called pressure-retarded osmosis., salinity gradient energy is called pressure retarded osmosis.,0,1,1,0.42857142857142855,0.03278688524590164
